Register to Register Moves
00000000000000000000000000000001	00000001	MOVE.B	D0,D0
00000000000000010000000000000001	00010001	MOVE.B	D0,D1
00000000000000100000000000000001	00020001	MOVE.B	D0,D2
00000000000000110000000000000001	00030001	MOVE.B	D0,D3
00000000000001000000000000000001	00040001	MOVE.B	D0,D4
00000000000001010000000000000001	00050001	MOVE.B	D0,D5
00000000000001100000000000000001	00060001	MOVE.B	D0,D6
00000000000001110000000000000001	00070001	MOVE.B	D0,D7
00000000000010000000000000000001	00080001	MOVE.B	D0,D8
00000000000010010000000000000001	00090001	MOVE.B	D0,D9
00000000000010100000000000000001	000a0001	MOVE.B	D0,D10
00000000000010110000000000000001	000b0001	MOVE.B	D0,D11
00000000000011000000000000000001	000c0001	MOVE.B	D0,D12
00000000000011010000000000000001	000d0001	MOVE.B	D0,D13
00000000000011100000000000000001	000e0001	MOVE.B	D0,D14
00000000000011110000000000000001	000f0001	MOVE.B	D0,D15
00000000000100000000000000000001	00100001	MOVE.B	D0,A0
00000000000100010000000000000001	00110001	MOVE.B	D0,A1
00000000000100100000000000000001	00120001	MOVE.B	D0,A2
00000000000100110000000000000001	00130001	MOVE.B	D0,A3
00000000000101000000000000000001	00140001	MOVE.B	D0,A4
00000000000101010000000000000001	00150001	MOVE.B	D0,A5
00000000000101100000000000000001	00160001	MOVE.B	D0,A6
00000000000101110000000000000001	00170001	MOVE.B	D0,A7
00000000000110000000000000000001	00180001	MOVE.B	D0,A8
00000000000110010000000000000001	00190001	MOVE.B	D0,A9
00000000000110100000000000000001	001a0001	MOVE.B	D0,A10
00000000000110110000000000000001	001b0001	MOVE.B	D0,A11
00000000000111000000000000000001	001c0001	MOVE.B	D0,A12
00000000000111010000000000000001	001d0001	MOVE.B	D0,A13
00000000000111100000000000000001	001e0001	MOVE.B	D0,A14
00000000000111110000000000000001	001f0001	MOVE.B	D0,A15
00000000000000000000010000000001	00000401	MOVE.B	D1,D0
00000000000000010000010000000001	00010401	MOVE.B	D1,D1
00000000000000100000010000000001	00020401	MOVE.B	D1,D2
00000000000000110000010000000001	00030401	MOVE.B	D1,D3
00000000000001000000010000000001	00040401	MOVE.B	D1,D4
00000000000001010000010000000001	00050401	MOVE.B	D1,D5
00000000000001100000010000000001	00060401	MOVE.B	D1,D6
00000000000001110000010000000001	00070401	MOVE.B	D1,D7
00000000000010000000010000000001	00080401	MOVE.B	D1,D8
00000000000010010000010000000001	00090401	MOVE.B	D1,D9
00000000000010100000010000000001	000a0401	MOVE.B	D1,D10
00000000000010110000010000000001	000b0401	MOVE.B	D1,D11
00000000000011000000010000000001	000c0401	MOVE.B	D1,D12
00000000000011010000010000000001	000d0401	MOVE.B	D1,D13
00000000000011100000010000000001	000e0401	MOVE.B	D1,D14
00000000000011110000010000000001	000f0401	MOVE.B	D1,D15
